         10509189 function calls (10508351 primitive calls) in 33.494 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.001    0.000 abc.py:86(__new__)
      630    0.001    0.000    0.001    0.000 {getattr}
      808    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.001    0.001 warnings.py:45(filterwarnings)
        3    0.001    0.000    0.001    0.000 numeric.py:122(extend_all)
      261    0.001    0.000    0.001    0.000 sre_parse.py:126(__len__)
      598    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 numerictypes.py:300(_add_aliases)
       40    0.000    0.000    0.001    0.000 _inspect.py:118(getargspec)
      216    0.001    0.000    0.001    0.000 sre_parse.py:138(append)
        1    0.000    0.000    0.001    0.001 collections.py:1(<module>)
      592    0.001    0.000    0.001    0.000 {method 'get_rect' of 'pygame.Surface' objects}
      296    0.001    0.000    0.001    0.000 copy.py:113(_copy_with_constructor)
      296    0.001    0.000    0.001    0.000 __init__.py:104(defscale)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
       14    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
       57    0.000    0.000    0.001    0.000 PngImagePlugin.py:43(i32)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
      303    0.001    0.000    0.001    0.000 {method 'unionall' of 'pygame.Rect' objects}
        3    0.000    0.000    0.001    0.000 ImageFile.py:72(__init__)
      296    0.001    0.000    0.001    0.000 {method 'count' of 'pygame.mask.Mask' objects}
      450    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 _datasource.py:33(<module>)
      296    0.001    0.000    0.001    0.000 sprite.py:112(__init__)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
      288    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        5    0.000    0.000    0.001    0.000 abc.py:105(register)
      296    0.001    0.000    0.001    0.000 sprite.py:146(add_internal)
        4    0.001    0.000    0.001    0.000 {method 'fill' of 'pygame.Surface' objects}
        3    0.000    0.000    0.001    0.000 PngImagePlugin.py:313(_open)
    46/37    0.000    0.000    0.001    0.000 {issubclass}
      160    0.001    0.000    0.001    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.001    0.001 decorators.py:15(<module>)
       55    0.000    0.000    0.001    0.000 utils.py:113(__call__)
        1    0.001    0.001    0.001    0.001 sprite.py:66(<module>)
        3    0.000    0.000    0.001    0.000 PngImagePlugin.py:443(putchunk)
        1    0.000    0.000    0.001    0.001 random.py:40(<module>)
        9    0.000    0.000    0.001    0.000 extras.py:239(__init__)
      9/5    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
      426    0.001    0.000    0.001    0.000 {ord}
      296    0.001    0.000    0.001    0.000 sprite.py:290(has_internal)
      296    0.001    0.000    0.001    0.000 sprite.py:281(add_internal)
        1    0.001    0.001    0.001    0.001 {method 'close' of 'file' objects}
        9    0.000    0.000    0.001    0.000 extras.py:243(getdoc)
      263    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      363    0.001    0.000    0.001    0.000 {min}
       19    0.000    0.000    0.001    0.000 nosetester.py:138(__init__)
       54    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        1    0.000    0.000    0.000    0.000 arrayprint.py:4(<module>)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
      349    0.000    0.000    0.000    0.000 {chr}
        3    0.000    0.000    0.000    0.000 {posix.remove}
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:459(write)
      260    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
       23    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
      296    0.000    0.000    0.000    0.000 __init__.py:268(<lambda>)
        8    0.000    0.000    0.000    0.000 core.py:7119(__init__)
       12    0.000    0.000    0.000    0.000 {all}
        1    0.000    0.000    0.000    0.000 sndarray.py:57(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
        8    0.000    0.000    0.000    0.000 core.py:7124(getdoc)
        1    0.000    0.000    0.000    0.000 numerictypes.py:284(_add_types)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
       38    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:28(<module>)
       74    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
       55    0.000    0.000    0.000    0.000 utils.py:157(deprecate)
      234    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
       18    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
